year,month,day,avg_temperature,precipitation
2021,10,10,10.7,0.0
2021,10,9,8.6,11.6
2021,10,8,9.05,0.0
2021,10,7,9.1,0.0
2021,10,6,9.05,0.0
2021,10,5,10.7,4.5
2021,10,4,11.45,0.0
2021,10,3,12.1,0.4
2021,10,2,11.5,0.0
2021,10,1,11.3,0.0
2021,9,30,13.2,14.1
2021,9,29,11.6,11.3
2021,9,28,14.3,6.8
2021,9,27,14.2,6.3
2021,9,26,13.8,21.4
2021,9,25,16.25,0.0
2021,9,24,13.45,0.0
2021,9,23,14.05,0.0
2021,9,22,15.1,1.5
2021,9,21,13.05,0.0
2021,9,20,13.7,0.0
2021,9,19,13.3,2.2
2021,9,18,15.3,8.6
2021,9,17,12.55,50.9
2021,9,16,10.9,0.0
2021,9,15,14.55,0.0
2021,9,14,13.35,11.6
2021,9,13,14.3,0.0
2021,9,12,15.5,0.7
2021,9,11,15.85,5.3
2021,9,10,19.25,0.0
2021,9,9,20.3,0.0
2021,9,8,19.39,0.8
2021,9,7,16.95,0.0
2021,9,6,17.04,0.0
2021,9,5,17.14,0.0
2021,9,4,16.1,13.5
2021,9,3,17.64,0.0
2021,9,2,15.7,0.0
2021,9,1,13.8,0.0
2021,8,31,15.7,1.8
2021,8,30,15.8,0.0
2021,8,29,16.85,0.0
2021,8,28,15.45,0.0
2021,8,27,17.14,7.0
2021,8,26,16.3,3.1
2021,8,25,18.25,0.0
2021,8,24,15.8,0.0
2021,8,23,16.55,0.3
2021,8,22,18.64,0.0
2021,8,21,18.35,0.0
2021,8,20,16.25,1.6
2021,8,19,18.39,0.0
2021,8,18,16.89,0.0
2021,8,17,17.8,0.2
2021,8,16,18.7,0.0
2021,8,15,20.35,0.0
2021,8,14,22.4,0.0
2021,8,13,22.75,0.0
2021,8,12,23.2,0.0
2021,8,11,20.75,0.0
2021,8,10,19.75,0.0
2021,8,9,18.95,0.0
2021,8,8,18.75,0.6
2021,8,7,18.1,22.1
2021,8,6,20.65,0.0
2021,8,5,22.95,0.0
2021,8,4,20.25,0.0
2021,8,3,20.55,0.0
2021,8,2,19.5,0.0
2021,8,1,21.95,0.0
2021,7,31,21.85,0.0
2021,7,30,21.65,0.0
2021,7,29,20.65,0.0
2021,7,28,20.35,0.0
2021,7,27,19.45,0.0
2021,7,26,19.7,0.0
2021,7,25,19.89,0.0
2021,7,24,19.7,0.0
2021,7,23,19.85,0.0
2021,7,22,17.25,0.0
2021,7,21,17.54,0.0
2021,7,20,19.35,0.0
2021,7,19,20.3,0.0
2021,7,18,17.95,0.0
2021,7,17,19.55,0.0
2021,7,16,17.14,0.0
2021,7,15,17.14,0.0
2021,7,14,19.14,0.0
2021,7,13,19.25,0.0
2021,7,12,18.64,0.0
2021,7,11,18.45,0.0
2021,7,10,19.55,0.0
2021,7,9,20.1,0.0
2021,7,8,17.95,0.0
2021,7,7,18.35,0.0
2021,7,6,18.1,0.0
2021,7,5,19.75,0.0
2021,7,4,20.35,0.0
2021,7,3,19.6,0.0
2021,7,2,19.6,0.0
2021,7,1,20.6,0.0
2021,6,30,20.95,0.0
2021,6,29,26.4,0.0
2021,6,28,26.0,0.0
2021,6,27,25.25,0.0
2021,6,26,24.9,0.0
2021,6,25,21.8,0.0
2021,6,24,18.95,0.0
2021,6,23,17.7,0.0
2021,6,22,18.85,0.0
2021,6,21,19.45,0.0
2021,6,20,18.05,0.0
2021,6,19,16.64,0.0
2021,6,18,14.6,0.0
2021,6,17,16.64,0.0
2021,6,16,16.39,0.0
2021,6,15,16.5,2.6
2021,6,14,17.14,1.6
2021,6,13,16.2,12.5
2021,6,12,16.55,0.6
2021,6,11,13.95,6.3
2021,6,10,15.7,0.0
2021,6,9,14.35,1.2
2021,6,8,11.7,0.0
2021,6,7,11.95,5.2
2021,6,6,11.1,5.0
2021,6,5,14.25,0.8
2021,6,4,14.5,1.4
2021,6,3,18.14,0.0
2021,6,2,20.5,0.0
2021,6,1,17.6,0.0
2021,5,31,16.55,0.0
2021,5,30,14.5,0.0
2021,5,29,12.6,0.0
2021,5,28,13.6,0.8
2021,5,27,12.9,8.2
2021,5,26,13.64,0.0
2021,5,25,14.85,0.0
2021,5,24,11.95,3.1
2021,5,23,13.85,0.0
2021,5,22,13.1,0.0
2021,5,21,12.0,0.0
2021,5,20,10.5,0.0
2021,5,19,10.5,0.0
2021,5,18,11.3,5.0
2021,5,17,13.55,7.0
2021,5,16,14.05,0.0
2021,5,15,14.9,0.0
2021,5,14,13.0,0.0
2021,5,13,12.85,0.0
2021,5,12,13.9,3.6
2021,5,11,11.3,0.0
2021,5,10,11.0,0.0
2021,5,9,11.1,0.0
2021,5,8,11.2,0.0
2021,5,7,9.75,0.0
2021,5,6,13.7,0.3
2021,5,5,10.35,0.0
2021,5,4,11.95,0.0
2021,5,3,10.25,2.2
2021,5,2,10.8,0.0
2021,5,1,11.85,0.0
2021,4,30,14.2,13.5
2021,4,29,13.64,0.3
2021,4,28,12.2,1.4
2021,4,27,11.1,0.0
2021,4,26,10.1,0.0
2021,4,25,10.05,7.7
2021,4,24,9.94,10.9
2021,4,23,11.3,0.3
2021,4,22,10.85,0.0
2021,4,21,9.69,0.0
2021,4,20,11.15,0.0
2021,4,19,13.05,0.0
2021,4,18,11.45,0.0
2021,4,17,11.89,0.0
2021,4,16,11.35,0.0
2021,4,15,10.55,0.0
2021,4,14,7.9,0.0
2021,4,13,8.45,0.0
2021,4,12,5.85,0.0
2021,4,11,4.2,0.0
2021,4,10,5.69,0.0
2021,4,9,5.4,0.9
2021,4,8,7.4,0.0
2021,4,7,6.2,1.8
2021,4,6,8.3,0.0
2021,4,5,4.55,0.0
2021,4,4,7.8,0.0
2021,4,3,8.55,1.2
2021,4,2,8.8,0.0
2021,4,1,8.85,0.0
2021,3,31,5.35,0.0
2021,3,30,4.5,0.0
2021,3,29,4.84,0.0
2021,3,28,6.6,4.2
2021,3,27,6.8,0.0
2021,3,26,6.5,0.0
2021,3,25,7.4,0.0
2021,3,24,6.05,6.0
2021,3,23,5.3,0.4
2021,3,22,7.05,0.0
2021,3,21,5.65,5.9
2021,3,20,7.55,1.8
2021,3,19,8.6,0.9
2021,3,18,7.7,2.7
2021,3,17,5.35,1.0
2021,3,16,3.8,0.0
2021,3,15,3.9,0.0
2021,3,14,6.95,1.2
2021,3,13,8.19,0.0
2021,3,12,6.45,0.0
2021,3,11,3.0,0.0
2021,3,10,4.35,0.0
2021,3,9,7.0,0.0
2021,3,8,5.85,0.0
2021,3,7,6.69,1.5
2021,3,6,7.95,0.7
2021,3,5,8.8,3.7
2021,3,4,6.35,4.0
2021,3,3,6.6,0.0
2021,3,2,4.8,0.0
2021,3,1,7.8,0.0
2021,2,28,5.09,3.3
2021,2,27,2.4,0.6
2021,2,26,5.8,1.6
2021,2,25,5.65,4.6
2021,2,24,1.9,0.0
2021,2,23,4.45,0.2
2021,2,22,8.1,1.5
2021,2,21,7.9,1.9
2021,2,20,2.9,1.1
2021,2,19,4.64,1.4
2021,2,18,3.95,1.7
2021,2,17,3.25,0.0
2021,2,16,5.65,0.2
2021,2,15,2.35,13.4
2021,2,14,0.05,2.1
2021,2,13,-1.75,6.2
2021,2,12,-3.5,0.0
2021,2,11,-1.8,0.0
2021,2,10,-1.6,0.0
2021,2,9,-0.75,0.0
2021,2,8,0.7,0.0
2021,2,7,5.5,0.0
2021,2,6,6.8,1.9
2021,2,5,6.35,1.1
2021,2,4,4.9,7.6
2021,2,3,4.55,0.0
2021,2,2,5.4,13.5
2021,2,1,6.19,19.2
2021,1,31,6.5,7.3
2021,1,30,5.8,1.7
2021,1,29,4.75,0.0
2021,1,28,4.55,1.4
2021,1,27,3.2,0.4
2021,1,26,4.4,0.0
2021,1,25,3.15,10.7
2021,1,24,2.29,9.0
2021,1,23,0.0,0.0
2021,1,22,1.45,0.0
2021,1,21,3.84,0.5
2021,1,20,5.09,0.0
2021,1,19,3.85,0.0
2021,1,18,4.0,0.0
2021,1,17,5.8,0.7
2021,1,16,5.4,2.5
2021,1,15,7.5,2.1
2021,1,14,4.95,0.0
2021,1,13,7.75,3.9
2021,1,12,9.69,22.1
2021,1,11,8.94,15.2
2021,1,10,6.85,4.4
2021,1,9,3.2,0.0
2021,1,8,4.3,9.3
2021,1,7,5.6,0.0
2021,1,6,6.7,0.2
2021,1,5,5.19,29.5
2021,1,4,5.75,18.1
2021,1,3,5.8,6.4
2021,1,2,7.85,12.7
2021,1,1,8.5,17.6
2020,12,31,6.5,6.8
2020,12,30,4.75,31.6
2020,12,29,4.0,8.2
2020,12,28,5.3,0.8
2020,12,27,5.19,6.4
2020,12,26,6.5,3.7
2020,12,25,3.7,8.1
2020,12,24,0.04,0.0
2020,12,23,1.8,0.0
2020,12,22,2.09,0.0
2020,12,21,4.25,31.8
2020,12,20,7.25,0.0
2020,12,19,6.35,19.6
2020,12,18,7.5,19.7
2020,12,17,7.25,9.1
2020,12,16,8.1,7.6
2020,12,15,7.5,7.4
2020,12,14,6.25,1.5
2020,12,13,3.15,10.4
2020,12,12,1.79,0.0
2020,12,11,4.0,9.2
2020,12,10,5.15,0.0
2020,12,9,7.0,0.3
2020,12,8,8.4,14.7
2020,12,7,9.3,10.8
2020,12,6,6.65,2.2
2020,12,5,5.35,0.0
